W;A;Y
0.219530307;1;1
0.397249459;0;1
0.039002903;0;0
-1.911852953;0;0
-0.988050953;0;0
1.26109991;1;1
0.030864669;0;0
0.09249489;1;1
0.496426868;0;1
-0.407972406;0;0
0.463496375;1;1
-0.481053254;1;1
0.373633572;0;1
0.351357634;1;1
0.60103958;1;1
0.489004764;1;1
0.045060091;1;0
0.212861465;1;1
-0.356694103;0;0
-1.012158865;0;0
-0.596710253;0;0
-0.448010111;1;1
-0.625543717;0;1
0.721670115;1;1
-1.102521353;0;1
0.713973437;1;0
0.120048812;1;1
-0.101913193;1;0
0.32615313;1;1
0.030545491;0;1
0.879714315;1;1
-2.310058311;0;0
0.987418175;1;1
0.497971947;0;0
1.234786528;1;1
0.401722656;0;0
-0.040653513;0;0
-0.883149842;1;0
2.175276084;1;1
-1.306535585;0;0
-1.755922761;0;0
-0.599979037;0;0
-1.711120533;0;1
-0.077499991;0;0
1.024266194;1;1
-1.4605758;0;0
1.403955245;1;1
-1.212261446;0;0
-2.221131973;0;0
-1.381354291;0;0
-0.543758159;0;0
-1.468550114;0;1
0.486281446;1;1
-2.750250177;0;0
-0.435078832;0;1
1.642754203;1;1
-1.014471989;0;0
0.378741308;0;1
-1.271239501;0;1
-0.285100897;1;0
1.180986499;1;1
-0.022816413;1;1
-0.557032937;0;1
-0.738303365;0;1
-1.438686329;0;0
0.606353996;1;1
-1.425685906;0;0
-0.742486203;0;0
0.552231431;0;0
-0.920871413;0;1
1.103795978;0;0
0.838112224;1;1
1.616116991;1;1
0.239368297;0;0
2.064828422;1;1
0.070614452;1;1
-0.704062747;0;0
0.985778806;1;1
0.790006007;1;1
0.759111703;0;1
-0.055296262;1;1
1.0395098;1;1
-0.551431013;0;0
-0.671468237;0;0
1.216275309;1;1
1.109928961;1;1
-0.630655056;0;1
0.902226393;1;1
0.420226011;0;1
1.72401089;1;1
0.585494549;0;0
0.594877284;1;1
-0.427527714;0;0
1.079247322;0;1
-1.659039384;0;0
-0.428106278;0;0
-0.614600277;0;1
1.703721204;1;1
0.392023632;0;1
-0.14135574;0;0
0.261132577;0;1
0.772519098;1;0
0.004594932;0;1
0.510250481;0;1
1.188840149;1;1
-0.305602757;0;0
-1.258986531;0;0
-0.050362343;0;1
-0.26903455;0;1
0.850104123;0;1
0.707519158;1;0
-0.274658434;0;1
-0.479919237;0;0
-0.818758384;0;0
-0.180649803;0;1
0.395092006;0;1
0.163805575;0;0
2.556873494;1;1
0.50892338;1;1
-1.464905829;0;0
1.134965237;1;1
-1.782530828;0;0
-0.40686759;1;1
-1.397238618;0;0
-0.039655481;1;1
-2.051054224;0;0
-0.090113456;0;0
-2.483189482;0;0
0.698671465;0;0
0.66623743;0;0
-1.034164318;0;0
-0.733861219;1;1
0.968023786;1;1
-1.681241972;0;0
0.247776964;0;1
0.970093651;1;1
0.056695755;1;1
0.036521308;0;0
-0.097065605;0;1
-1.512954693;0;0
0.3744265;1;1
1.479260864;1;1
-2.39424211;0;0
0.056958439;1;1
0.095322981;0;1
-0.956374058;0;1
2.071017414;1;1
0.667471465;1;1
-1.514546007;0;0
-0.289467606;1;1
0.568018225;0;1
0.61985997;1;1
1.486281828;1;1
